Países;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;TOTAL
TAILANDIA;0;0;647;1551;621;0;960;0;480;967;2240;2240;9706
QATAR;1165;1151;717;853;663;1681;984;583;719;478;266;320;9580
DUBAI;0;2560;0;0;2880;0;4;2240;0;0;0;0;7684
JAMAICA;896;0;1308;350;193;812;1479;210;345;749;474;634;7450
IRAQUE;1906;0;0;880;513;244;0;1026;211;226;1026;1393;7425
GANA;749;0;749;0;1498;0;1498;0;749;749;0;749;6741
ARMENIA;0;0;0;0;960;2240;0;320;0;0;640;959;5119
GUIANA;1262;0;0;0;93;1050;0;949;777;0;476;429;5036
MALTA;78;445;229;0;675;0;1324;0;500;387;0;666;4304
CABO VERDE;320;0;0;640;0;642;640;640;0;960;320;0;4162
NIGERIA;0;0;0;0;0;1373;0;2746;0;0;0;0;4119
ESLOVAQUIA;0;330;440;0;436;0;0;435;435;435;870;435;3816
SUICA;720;52;320;677;320;0;320;320;360;660;0;0;3749
BAREIN;104;239;595;440;0;478;957;0;105;0;324;0;3242
SURINAME;252;0;1008;486;743;0;0;0;235;0;253;121;3098
CAZAQUISTAO;0;320;334;0;0;0;433;673;0;334;0;959;3053
IRAN;0;364;0;0;641;0;338;0;0;1092;0;0;2435
ISLANDIA;0;660;0;0;0;332;328;0;332;0;0;657;2309
MAURICIO;0;252;0;470;0;110;349;411;242;110;97;0;2041
AFEGANISTAO;478;0;0;0;0;0;717;209;0;0;0;478;1882
COSTA RICA;0;0;0;78;1000;333;0;88;0;88;0;0;1587
NICARAGUA;440;83;0;124;0;129;50;0;279;229;0;119;1453
REPUBL. TCHECA;320;0;0;320;0;318;0;0;0;0;0;433;1391
RUANDA;0;107;0;287;0;0;519;285;0;0;0;0;1198
PAQUISTAO;0;0;0;0;320;0;0;0;0;0;447;300;1067
BIELO-RUSSIA;0;0;0;0;666;0;0;0;0;0;0;0;666
UZBEQUISTAO;0;0;0;0;0;0;0;0;0;334;318;0;652
HUNGRIA;596;0;0;0;0;0;0;0;0;0;0;0;596
MONGOLIA;0;0;0;285;285;0;0;0;0;0;0;0;570
SENEGAL;0;0;0;0;0;0;0;0;0;0;319;0;319
UGANDA;0;0;0;0;0;237;0;0;0;0;0;0;237
SOMALIA;0;0;0;0;0;135;0;0;0;0;0;0;135
FIJI;0;0;0;0;0;0;0;0;0;0;0;134;134
VENEZUELA;0;0;11;0;0;0;0;122;0;0;0;0;133
DJIBUTI;0;0;0;125;0;0;0;0;0;0;0;0;125
SEYCHELLES;116;0;0;0;0;0;0;0;0;0;0;0;116
COMORES;0;0;0;0;0;0;104;0;0;0;0;0;104
MADAGASCAR;0;0;0;0;0;0;102;0;0;0;0;0;102
MALDIVAS;0;0;0;0;0;53;0;0;0;0;0;0;53
ANGOLA;0;0;0;0;0;0;0;1;0;0;0;0;1
